Tipo de Relatório: Medidas Consolidadas;;;;;;;;;;
Tipo de Agente: Conectante | Nome: RIOGALEAO;;;;;;;;;;
Periodo Solicitado de 01/09/2019 até 30/09/2019;;;;;;;;;;
Ponto de Medição;Data de Consolidação;Hora de Consolidação;Tipo de Energia;Ativa Geração (kWh);Ativa Consumo (kWh);Reativa Geração (kVArh);Reativa Consumo (kVArh);Qt Intervalos Faltantes;Situação da Medida;Motivo da Situação
RJAEG-TR1--01;06/09/2019;12;Liquida;0;11865;0;932,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;13;Liquida;0;12016,2;0;1041,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;14;Liquida;0;12133,8;0;1117,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;15;Liquida;0;12096;0;1083,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;16;Liquida;0;11995,2;0;1062,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;17;Liquida;0;11999,4;0;1117,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;18;Liquida;0;12579;0;1470;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;19;Liquida;0;12856,2;0;1675,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;20;Liquida;0;12734,4;0;1638;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;21;Liquida;0;12738,6;0;1638;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;22;Liquida;0;12549,6;0;1562,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;23;Liquida;0;12222;0;1373,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;24;Liquida;0;11881,8;0;1239;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;1;Liquida;0;11533,2;0;1045,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;2;Liquida;0;11516,4;0;1066,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;3;Liquida;0;11327,4;0;999,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;4;Liquida;0;11264,4;0;903;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;5;Liquida;0;11323,2;0;970,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;6;Liquida;0;11608,8;0;1108,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;7;Liquida;0;11298;0;915,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;8;Liquida;0;11046;0;701,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;9;Liquida;0;11029,2;0;499,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;10;Liquida;0;11142,6;0;579,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;11;Liquida;0;11289,6;0;642,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;12;Liquida;0;11302,2;0;638,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;13;Liquida;0;11491,2;0;714;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;14;Liquida;0;12058,2;0;1050;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;15;Liquida;0;12516;0;1293,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;16;Liquida;0;12495;0;1293,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;17;Liquida;0;12373,2;0;1251,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;18;Liquida;0;12797,4;0;1566,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;19;Liquida;0;13692;0;2276,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;20;Liquida;0;13557,6;0;2163;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;21;Liquida;0;13536,6;0;2129,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;22;Liquida;0;13167;0;1953;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;23;Liquida;0;12709,2;0;1797,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;07/09/2019;24;Liquida;0;12411;0;1680;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;1;Liquida;0;12083,4;0;1528,8;0;Hora Completa Consistente;Consistido
